symptom_text,urgency_level
"persistent headache for two days, no other symptoms",3
"possible stroke symptoms, resolved after a few minutes",2
"abdominal pain, sudden onset, worsening over the hour",2
"uncontrolled bleeding from scalp, patient pale and dizzy",1
"uncontrolled bleeding from left leg, patient pale and dizzy",1
"twisted ankle, swelling and pain when walking",3
"unresponsive, shallow breathing, weak pulse",1
"mild cold symptoms, runny nose, no fever",4
high fever with confusion and neck stiffness,2
requesting prescription refill,4
"fall from height, suspected fracture, severe pain in shoulder",2
"seizure lasting several minutes, not regaining consciousness",1
"mild cold symptoms, runny nose, no fever",4
"moderate chest tightness, shortness of breath on exertion",2
"vomiting and diarrhea since this morning, mild dehydration",3
"follow-up visit for previous minor injury, healing well",4
"vomiting and diarrhea since this morning, mild dehydration",3
"persistent headache for two days, no other symptoms",3
"follow-up visit for previous minor injury, healing well",4
"vomiting and diarrhea since this morning, mild dehydration",3
"sore throat and fever, mild discomfort",3
"fall from height, suspected fracture, severe pain in scalp",2
"minor scrape on left leg, cleaned at home already",4
"high-speed collision, suspected internal bleeding, abdomen rigid",1
high fever with confusion and neck stiffness,2
"follow-up visit for previous minor injury, healing well",4
requesting prescription refill,4
"follow-up visit for previous minor injury, healing well",4
"minor scrape on right leg, cleaned at home already",4
"minor scrape on forearm, cleaned at home already",4
"mild cold symptoms, runny nose, no fever",4
"high-speed collision, suspected internal bleeding, abdomen rigid",1
"sore throat and fever, mild discomfort",3
"routine checkup, no acute complaints",4
"minor burn on shoulder, blistering",3
"deep laceration on hand, bleeding controlled with pressure",2
"vomiting and diarrhea since this morning, mild dehydration",3
"routine checkup, no acute complaints",4
"moderate chest tightness, shortness of breath on exertion",2
"persistent headache for two days, no other symptoms",3
"abdominal pain, sudden onset, worsening over the hour",2
"vomiting and diarrhea since this morning, mild dehydration",3
"moderate chest tightness, shortness of breath on exertion",2
"severe allergic reaction, face and throat swelling rapidly",1
high fever with confusion and neck stiffness,2
"moderate chest tightness, shortness of breath on exertion",2
"sore throat and fever, mild discomfort",3
"sore throat and fever, mild discomfort",3
high fever with confusion and neck stiffness,2
"severe allergic reaction, face and throat swelling rapidly",1
"crushing chest pain radiating to right arm, cold sweat",1
"seizure lasting several minutes, not regaining consciousness",1
"back pain after lifting heavy object, no numbness",3
"fall from height, suspected fracture, severe pain in right leg",2
"follow-up visit for previous minor injury, healing well",4
requesting prescription refill,4
high fever with confusion and neck stiffness,2
"asthma attack, using inhaler, some relief but still wheezing",2
requesting prescription refill,4
"uncontrolled bleeding from right leg, patient pale and dizzy",1
"minor scrape on right leg, cleaned at home already",4
"persistent headache for two days, no other symptoms",3
high fever with confusion and neck stiffness,2
"deep laceration on forearm, bleeding controlled with pressure",2
"uncontrolled bleeding from hand, patient pale and dizzy",1
"vomiting and diarrhea since this morning, mild dehydration",3
"possible stroke symptoms, resolved after a few minutes",2
"sudden weakness on one side of body, slurred speech",1
"routine checkup, no acute complaints",4
"sore throat and fever, mild discomfort",3
"uncontrolled bleeding from forearm, patient pale and dizzy",1
"uncontrolled bleeding from left leg, patient pale and dizzy",1
"uncontrolled bleeding from forearm, patient pale and dizzy",1
"asthma attack, using inhaler, some relief but still wheezing",2
"minor scrape on right leg, cleaned at home already",4
"asthma attack, using inhaler, some relief but still wheezing",2
"possible stroke symptoms, resolved after a few minutes",2
"sore throat and fever, mild discomfort",3
"minor scrape on hand, cleaned at home already",4
"severe difficulty breathing, lips turning blue",1
"routine checkup, no acute complaints",4
"abdominal pain, sudden onset, worsening over the hour",2
"minor scrape on right leg, cleaned at home already",4
requesting prescription refill,4
"sore throat and fever, mild discomfort",3
"uncontrolled bleeding from left leg, patient pale and dizzy",1
"crushing chest pain radiating to right arm, cold sweat",1
"sore throat and fever, mild discomfort",3
"mild cold symptoms, runny nose, no fever",4
"asthma attack, using inhaler, some relief but still wheezing",2
"routine checkup, no acute complaints",4
requesting prescription refill,4
"moderate chest tightness, shortness of breath on exertion",2
"back pain after lifting heavy object, no numbness",3
"asthma attack, using inhaler, some relief but still wheezing",2
"persistent headache for two days, no other symptoms",3
"abdominal pain, sudden onset, worsening over the hour",2
"routine checkup, no acute complaints",4
"seizure lasting several minutes, not regaining consciousness",1
"sudden weakness on one side of body, slurred speech",1
"routine checkup, no acute complaints",4
"back pain after lifting heavy object, no numbness",3
requesting prescription refill,4
"deep laceration on scalp, bleeding controlled with pressure",2
"mild cold symptoms, runny nose, no fever",4
"severe difficulty breathing, lips turning blue",1
"unresponsive, shallow breathing, weak pulse",1
"mild cold symptoms, runny nose, no fever",4
"seizure lasting several minutes, not regaining consciousness",1
"moderate chest tightness, shortness of breath on exertion",2
"twisted ankle, swelling and pain when walking",3
"sudden weakness on one side of body, slurred speech",1
requesting prescription refill,4
"severe allergic reaction, face and throat swelling rapidly",1
requesting prescription refill,4
"crushing chest pain radiating to jaw, cold sweat",1
"minor scrape on left leg, cleaned at home already",4
"back pain after lifting heavy object, no numbness",3
"minor burn on scalp, blistering",3
"sore throat and fever, mild discomfort",3
"unresponsive, shallow breathing, weak pulse",1
"minor scrape on right leg, cleaned at home already",4
"back pain after lifting heavy object, no numbness",3
high fever with confusion and neck stiffness,2
"crushing chest pain radiating to back, cold sweat",1
"vomiting and diarrhea since this morning, mild dehydration",3
"minor burn on shoulder, blistering",3
"sudden weakness on one side of body, slurred speech",1
"severe allergic reaction, face and throat swelling rapidly",1
"twisted ankle, swelling and pain when walking",3
"vomiting and diarrhea since this morning, mild dehydration",3
"twisted ankle, swelling and pain when walking",3
"fall from height, suspected fracture, severe pain in hand",2
"back pain after lifting heavy object, no numbness",3
high fever with confusion and neck stiffness,2
"minor burn on right leg, blistering",3
requesting prescription refill,4
"uncontrolled bleeding from scalp, patient pale and dizzy",1
"back pain after lifting heavy object, no numbness",3
"severe difficulty breathing, lips turning blue",1
"asthma attack, using inhaler, some relief but still wheezing",2
"fall from height, suspected fracture, severe pain in right leg",2
"twisted ankle, swelling and pain when walking",3
"routine checkup, no acute complaints",4
"minor scrape on right leg, cleaned at home already",4
"unresponsive, shallow breathing, weak pulse",1
"follow-up visit for previous minor injury, healing well",4
"minor burn on forearm, blistering",3
"severe difficulty breathing, lips turning blue",1
"asthma attack, using inhaler, some relief but still wheezing",2
"back pain after lifting heavy object, no numbness",3
"vomiting and diarrhea since this morning, mild dehydration",3
"follow-up visit for previous minor injury, healing well",4
"routine checkup, no acute complaints",4
"back pain after lifting heavy object, no numbness",3
requesting prescription refill,4
"asthma attack, using inhaler, some relief but still wheezing",2
"crushing chest pain radiating to left arm, cold sweat",1
"unresponsive, shallow breathing, weak pulse",1
"follow-up visit for previous minor injury, healing well",4
"mild cold symptoms, runny nose, no fever",4
"deep laceration on right leg, bleeding controlled with pressure",2
"sudden weakness on one side of body, slurred speech",1
"deep laceration on left leg, bleeding controlled with pressure",2
"mild cold symptoms, runny nose, no fever",4
"mild cold symptoms, runny nose, no fever",4
"fall from height, suspected fracture, severe pain in left leg",2
"twisted ankle, swelling and pain when walking",3
"persistent headache for two days, no other symptoms",3
"asthma attack, using inhaler, some relief but still wheezing",2
"crushing chest pain radiating to jaw, cold sweat",1
"abdominal pain, sudden onset, worsening over the hour",2
